epoch,train_loss,val_loss,grad_norm,elapsed
1,0.47757376978225363,0.23855531215667725,0.9895842522382736,7.239499092102051
2,0.20438007218890006,0.15897798538208008,0.8573705926537514,14.985351085662842
3,0.1809616845759276,0.14343923330307007,0.28245990723371506,21.839990615844727
4,0.17680303727654678,0.14118598401546478,0.29267940297722816,28.77612614631653
5,0.17465150276865415,0.14641550183296204,0.65736173838377,35.81126546859741
6,0.1725008930401912,0.14017711579799652,0.5882706940174103,42.84455704689026
7,0.17262865758568652,0.13488274812698364,0.24125025980174541,49.78616285324097
8,0.16767730866642253,0.13645441830158234,0.40135058760643005,56.802258014678955
9,0.16581571459405092,0.1312446892261505,0.278555853292346,63.69880962371826
10,0.16319810781483238,0.13082997500896454,0.46295318752527237,70.30617165565491
11,0.16122861971553168,0.12937146425247192,0.26234080642461777,77.45404481887817
12,0.16129312295424492,0.14915995299816132,1.3692366629838943,84.3125205039978
13,0.161522281867656,0.13736705482006073,0.6619111970067024,91.49275040626526
14,0.15972078559664776,0.15673291683197021,1.3734594583511353,98.61920022964478
15,0.16271321801488747,0.1316804587841034,0.4715600162744522,105.41087627410889
16,0.15829724926239425,0.1274622082710266,0.2428738009184599,112.43684816360474
17,0.15716531154060281,0.12701579928398132,0.19705208018422127,119.26190662384033
18,0.15787458355959036,0.12857919931411743,0.2864614427089691,126.06267952919006
19,0.15648126344461122,0.13532905280590057,0.7968273162841797,132.83213663101196
20,0.15771907966662432,0.1289960741996765,0.35321179032325745,140.146874666214
21,0.15626856803879097,0.13709323108196259,0.8274097144603729,147.17073917388916
22,0.15717941730401033,0.12671230733394623,0.15053386241197586,154.0887610912323
23,0.15531909929542798,0.1303519457578659,0.39671310037374496,160.8759536743164
24,0.1550346258368494,0.12850640714168549,0.39127855375409126,167.73489499092102
25,0.1551109216626889,0.12688635289669037,0.2793104723095894,174.60208320617676
26,0.15460905490456722,0.12921400368213654,0.25382494926452637,181.58553266525269
27,0.15419733793564008,0.12765929102897644,0.32679687812924385,188.38152885437012
28,0.15484360725633445,0.1308591663837433,0.5358833149075508,195.19344329833984
29,0.154162684054374,0.12783542275428772,0.15476416796445847,202.64945268630981
30,0.1539196889809618,0.12890173494815826,0.4133770018815994,209.90253448486328
