epoch,pattern,n,train_loss_mean,train_loss_std,val_loss,grad_norm
1,stable,6681,0.4457847476005554,0.6517269015312195,0.24607092142105103,0.9082024097442627
1,rising,3195,0.46518900990486145,0.6718553900718689,0.1930651068687439,0.6757516264915466
1,falling,3415,0.4899674355983734,0.7177296876907349,0.2498994618654251,1.3279695510864258
1,spike,667,0.7918576598167419,0.91546630859375,0.33630919456481934,1.0464134216308594
2,stable,6681,0.1868402659893036,0.49793946743011475,0.15825803577899933,0.5160106420516968
2,rising,3195,0.19194772839546204,0.5766838192939758,0.14868423342704773,1.7857648134231567
2,falling,3415,0.21163061261177063,0.5648818016052246,0.1512630581855774,0.39450737833976746
2,spike,667,0.4024972915649414,0.6133694648742676,0.27562204003334045,0.7331995368003845
3,stable,6681,0.16087931394577026,0.4904438257217407,0.14613787829875946,0.28578197956085205
3,rising,3195,0.17637789249420166,0.5692300200462341,0.11254369467496872,0.3678357005119324
3,falling,3415,0.188412144780159,0.5533930659294128,0.1485222578048706,0.233112171292305
3,spike,667,0.36592763662338257,0.5920559167861938,0.2563723027706146,0.2431097775697708
4,stable,6681,0.15655666589736938,0.48844119906425476,0.14492829144001007,0.3171061873435974
4,rising,3195,0.17177730798721313,0.5738659501075745,0.11311281472444534,0.28397390246391296
4,falling,3415,0.1862812340259552,0.5517861247062683,0.1433882862329483,0.18553276360034943
4,spike,667,0.3551468849182129,0.59052973985672,0.2426908165216446,0.38410475850105286
5,stable,6681,0.15569128096103668,0.487262099981308,0.1473175436258316,0.4468461573123932
5,rising,3195,0.1709967851638794,0.5729482173919678,0.12421368807554245,1.0125070810317993
5,falling,3415,0.18275004625320435,0.5505433082580566,0.1484983265399933,0.7118780016899109
5,spike,667,0.3406088352203369,0.5750380158424377,0.250379353761673,0.45821571350097656
6,stable,6681,0.15399214625358582,0.48564788699150085,0.14327220618724823,0.41567304730415344
6,rising,3195,0.17092521488666534,0.5671861171722412,0.12012363970279694,0.8079759478569031
6,falling,3415,0.17978535592556,0.5478126406669617,0.13836570084095,0.4974117577075958
