epoch,pattern,n,train_loss_mean,train_loss_std,val_loss,grad_norm
1,stable,6681,0.4571503698825836,0.6202818751335144,0.17238429188728333,0.4205426275730133
1,rising,3195,0.2929023802280426,0.6427574753761292,0.12560898065567017,0.711726188659668
1,falling,3415,0.30197322368621826,0.611214280128479,0.15801909565925598,0.7167208790779114
1,spike,667,0.6323620676994324,0.7829853892326355,0.3660236895084381,1.1086782217025757
2,stable,6681,0.17461101710796356,0.4876933991909027,0.16187113523483276,0.5960855484008789
2,rising,3195,0.18247832357883453,0.5664933919906616,0.12514767050743103,1.354110836982727
2,falling,3415,0.18948601186275482,0.5650200247764587,0.1462078094482422,0.7963221073150635
2,spike,667,0.38076451420783997,0.6654455065727234,0.35530221462249756,1.3852094411849976
3,stable,6681,0.16978666186332703,0.4890098571777344,0.1597040295600891,0.3676721751689911
3,rising,3195,0.1766224056482315,0.5672980546951294,0.130412295460701,1.2748136520385742
3,falling,3415,0.18289227783679962,0.5607792735099792,0.16715314984321594,1.2448089122772217
3,spike,667,0.3518926799297333,0.6437740325927734,0.32939690351486206,1.2260363101959229
4,stable,6681,0.16597633063793182,0.48498788475990295,0.18063387274742126,0.8924168348312378
4,rising,3195,0.17585201561450958,0.5767755508422852,0.12710754573345184,0.8014271259307861
4,falling,3415,0.18092215061187744,0.5625756978988647,0.14241555333137512,0.3663907051086426
4,spike,667,0.31887510418891907,0.6142778992652893,0.2711726427078247,0.6152812242507935
5,stable,6681,0.16257032752037048,0.48207908868789673,0.14546586573123932,0.32612091302871704
5,rising,3195,0.17378991842269897,0.5719954371452332,0.11389215290546417,0.39364174008369446
5,falling,3415,0.1793445348739624,0.5587904453277588,0.1423656940460205,0.46100929379463196
5,spike,667,0.26239362359046936,0.5536114573478699,0.17424792051315308,0.5433316826820374
6,stable,6681,0.15527193248271942,0.4839897155761719,0.14369052648544312,0.2559748589992523
6,rising,3195,0.17008791863918304,0.5785176157951355,0.11865124106407166,0.6836714744567871
6,falling,3415,0.17430348694324493,0.5514897704124451,0.13563048839569092,0.1900176703929901
6,spike,667,0.2222730666399002,0.5285680890083313,0.14064887166023254,0.4504654109477997
7,stable,6681,0.15366217494010925,0.4842241108417511,0.14030852913856506,0.2849067747592926
7,rising,3195,0.16907529532909393,0.5731967687606812,0.11755138635635376,0.8726462721824646
7,falling,3415,0.17288437485694885,0.5520398020744324,0.13826903700828552,0.40198415517807007
7,spike,667,0.2132803052663803,0.5268924236297607,0.1406225860118866,0.47607046365737915
8,stable,6681,0.15387381613254547,0.483083039522171,0.14356353878974915,0.31379392743110657
8,rising,3195,0.16978664696216583,0.5770095586776733,0.11841603368520737,0.520813524723053
8,falling,3415,0.1735772341489792,0.5513641238212585,0.15000145137310028,0.7339022755622864
8,spike,667,0.21187618374824524,0.5237833857536316,0.14729611575603485,0.4939097464084625
9,stable,6681,0.15232475101947784,0.4839511811733246,0.13990846276283264,0.2378351241350174
9,rising,3195,0.16853703558444977,0.5751826763153076,0.11244991421699524,0.39319077134132385
9,falling,3415,0.1711406707763672,0.5437173247337341,0.13754071295261383,0.3751271665096283
9,spike,667,0.20804157853126526,0.5170809626579285,0.14448033273220062,0.425601065158844
10,stable,6681,0.15151871740818024,0.47990232706069946,0.14153489470481873,0.2322845458984375
10,rising,3195,0.167791947722435,0.5729700326919556,0.12143518030643463,0.7128748297691345
10,falling,3415,0.17148654162883759,0.5463828444480896,0.133999764919281,0.26772376894950867
10,spike,667,0.20943555235862732,0.5223238468170166,0.13406051695346832,0.3207739591598511
11,stable,6681,0.15193946659564972,0.48126018047332764,0.13876527547836304,0.2409384399652481
11,rising,3195,0.16922028362751007,0.5714502930641174,0.10976596921682358,0.32267776131629944
11,falling,3415,0.17211134731769562,0.5466047525405884,0.1422882080078125,0.6249633431434631
11,spike,667,0.20920555293560028,0.5236095190048218,0.13962019979953766,0.27791622281074524
12,stable,6681,0.1506391018629074,0.4800485074520111,0.14541035890579224,0.38768988847732544
12,rising,3195,0.16786035895347595,0.57469642162323,0.1125795915722847,0.3725065290927887
12,falling,3415,0.1707925647497177,0.5478611588478088,0.16196176409721375,1.010812759399414
12,spike,667,0.20590740442276,0.5051417350769043,0.16703590750694275,0.4509628415107727
13,stable,6681,0.15343964099884033,0.48126405477523804,0.14147236943244934,0.2509079575538635
13,rising,3195,0.17015795409679413,0.5767474174499512,0.11518015712499619,0.375286728143692
13,falling,3415,0.17246615886688232,0.5379739999771118,0.13184703886508942,0.2100655883550644
13,spike,667,0.21007710695266724,0.5145555138587952,0.13954006135463715,0.321640282869339
14,stable,6681,0.15126603841781616,0.4793768525123596,0.13860763609409332,0.20290690660476685
14,rising,3195,0.16728897392749786,0.5696925520896912,0.11632895469665527,0.5133104920387268
14,falling,3415,0.17041583359241486,0.5452358722686768,0.13251543045043945,0.17020398378372192
14,spike,667,0.20629557967185974,0.5131112933158875,0.1325724869966507,0.2791464626789093
15,stable,6681,0.15084649622440338,0.47840237617492676,0.14032237231731415,0.31793904304504395
15,rising,3195,0.16810539364814758,0.5753933191299438,0.11216816306114197,0.253576397895813
15,falling,3415,0.17001588642597198,0.5422919392585754,0.13658088445663452,0.4552561640739441
15,spike,667,0.20331917703151703,0.5074695944786072,0.1337505578994751,0.35937052965164185
16,stable,6681,0.14961011707782745,0.4778532087802887,0.13637936115264893,0.217600017786026
16,rising,3195,0.16652247309684753,0.5726810693740845,0.10829365998506546,0.12929517030715942
16,falling,3415,0.16929472982883453,0.5436691045761108,0.14092838764190674,0.5547672510147095
16,spike,667,0.2019929736852646,0.5093492269515991,0.13726171851158142,0.3175751268863678
17,stable,6681,0.1495838314294815,0.4775761365890503,0.1362612247467041,0.1466589719057083
17,rising,3195,0.16619299352169037,0.5737736821174622,0.11348172277212143,0.3369283378124237
17,falling,3415,0.16916343569755554,0.5419384241104126,0.13317036628723145,0.28314441442489624
17,spike,667,0.20112040638923645,0.5010339617729187,0.12921138107776642,0.24548675119876862
18,stable,6681,0.1488034427165985,0.47758376598358154,0.13854432106018066,0.24225397408008575
18,rising,3195,0.1660958230495453,0.5713996291160583,0.10980362445116043,0.1695670783519745
18,falling,3415,0.16791875660419464,0.5413879752159119,0.13571183383464813,0.44780007004737854
18,spike,667,0.1989220380783081,0.49899137020111084,0.12935791909694672,0.3750685751438141
19,stable,6681,0.14982277154922485,0.47583872079849243,0.14861302077770233,0.40059179067611694
19,rising,3195,0.1654135137796402,0.5701256990432739,0.11966904252767563,0.5032632350921631
19,falling,3415,0.16905848681926727,0.5433015823364258,0.1375599205493927,0.5790777206420898
19,spike,667,0.20133841037750244,0.5035011768341064,0.14213021099567413,0.4267622232437134
20,stable,6681,0.15251415967941284,0.4764588475227356,0.13840791583061218,0.2110671103000641
