epoch,train_loss,val_loss,grad_norm,elapsed
1,0.3899604983436701,0.16588115692138672,0.7394169792532921,5.544906377792358
2,0.18990250453107388,0.15731483697891235,1.0329319834709167,11.119668245315552
3,0.18325998288260215,0.16153977811336517,1.0283327624201775,16.381516695022583
4,0.17920001544008146,0.16275019943714142,0.668878972530365,21.580852508544922
5,0.17401270066719032,0.13869908452033997,0.4310259073972702,26.661145210266113
6,0.16652137910788936,0.13594520092010498,0.3950323536992073,31.661811590194702
7,0.16474213600713827,0.1346796751022339,0.5089019164443016,36.807904958724976
8,0.1651086908627554,0.13959720730781555,0.5156048685312271,41.89567756652832
9,0.163301811459725,0.1333034634590149,0.3579385317862034,47.01722192764282
10,0.16289667197149382,0.13486069440841675,0.38341427594423294,52.496654987335205
11,0.16356689336563288,0.1331043690443039,0.366623941808939,57.71564817428589
12,0.1621529202284282,0.1428757905960083,0.5554930046200752,62.88058018684387
13,0.1646280466083948,0.13310523331165314,0.28947513923048973,68.06198167800903
14,0.16224859604780936,0.13184942305088043,0.2913919612765312,73.2476875782013
15,0.16199457476152818,0.13278895616531372,0.3465355336666107,78.4742021560669
16,0.16080063419836368,0.13117645680904388,0.3048093914985657,83.63794255256653
17,0.16063881947573952,0.1300826519727707,0.2530546188354492,88.82152438163757
18,0.15983345956282846,0.1309979408979416,0.3086724244058132,94.38611435890198
19,0.1605595077906695,0.13912007212638855,0.4774237424135208,99.87271022796631
20,0.16300213448559167,0.1298591047525406,0.22947845235466957,105.28245115280151
21,0.1598718346728177,0.13548684120178223,0.35680849850177765,111.0392074584961
22,0.1616143603184782,0.13099682331085205,0.33707013726234436,117.447594165802
23,0.1591290790058682,0.13840410113334656,0.4400051161646843,123.2349693775177
24,0.16014653005571705,0.13045094907283783,0.25146812945604324,128.98214149475098
25,0.15873934896984437,0.13065291941165924,0.2633604034781456,134.76084852218628
26,0.15784978373786204,0.13143591582775116,0.3301078751683235,140.16655659675598
27,0.15882952605043343,0.12905095517635345,0.297356229275465,145.67431735992432
28,0.15826266130526165,0.12898151576519012,0.2550736553966999,151.32800960540771
29,0.15766785889629104,0.14099368453025818,0.47044438123703003,157.77922916412354
30,0.16120503949694553,0.12811750173568726,0.1994507536292076,162.95416641235352
